Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
71,Noah Billingsley\Noah-Billingsley,nz NZL,DF,Minnesota,22,1997,0.1,100.0,20.0,80.0,20.0,0.00,0.00,80.0,0.00,0.00,,0.00,0.00,20.0,140.0,130.0,10.0,0.00,0.00,0.00,0.00,20.0,20.0,100.0,0.00,Matches
72,David Bingham\David-Bingham,us USA,GK,LA Galaxy,30,1989,18.0,28.9,25.9,28.9,0.00,0.00,0.00,18.2,0.00,0.00,,0.00,0.00,10.3,57.1,32.4,0.00,0.00,0.00,0.00,0.00,8.28,8.28,100.0,0.00,Matches
73,Luis Binks\Luis-Binks,eng ENG,DF,Montreal,18,2001,19.6,59.7,11.9,35.2,26.5,1.53,0.51,57.2,0.36,0.36,100.0,0.36,0.00,34.5,207.8,121.1,2.04,0.26,0.00,0.15,0.05,38.7,37.9,97.9,0.15,Matches
74,Steve Birnbaum\Steve-Birnbaum,us USA,DF,D.C. United,29,1991,10.0,63.0,8.90,33.9,27.9,4.00,1.80,60.6,0.00,0.00,,0.00,0.00,35.0,150.9,81.1,1.10,0.30,0.00,0.20,0.00,41.5,40.6,97.8,1.70,Matches
75,José Bizama\Jose-Bizama,cl CHI,DF,Houston,25,1994,6.3,54.0,5.24,22.5,22.1,12.9,1.90,47.5,0.63,0.79,80.0,0.63,0.00,31.7,198.9,150.6,3.97,0.79,0.16,0.79,0.32,32.7,29.5,90.3,1.43,Matches
76,Tristan Blackmon\Tristan-Blackmon,us USA,DF,Los Angeles FC,23,1996,10.9,69.6,5.32,24.8,38.3,11.8,0.46,61.7,1.47,2.20,66.7,1.56,0.09,38.9,192.6,115.8,2.84,1.10,0.09,0.55,0.83,41.4,39.0,94.2,1.47,Matches
77,Andre Blake\Andre-Blake,jm JAM,GK,Philadelphia,29,1990,21.0,33.0,29.5,32.8,0.19,0.05,0.00,22.9,0.00,0.00,,0.00,0.00,14.5,87.8,46.7,0.00,0.00,0.00,0.00,0.00,11.3,11.3,100.0,0.00,Matches
78,Sebastián Blanco\Sebastian-Blanco,ar ARG,FWMF,Portland,31,1988,7.4,72.4,0.81,10.9,37.7,29.3,5.81,69.3,1.76,3.51,50.0,2.03,0.00,53.4,343.9,213.2,10.9,2.97,1.89,1.76,1.62,64.5,56.2,87.2,7.97,Matches
79,Latif Blessing\Latif-Blessing,gh GHA,MFDF,Los Angeles FC,23,1996,19.1,69.1,2.09,13.7,36.6,23.1,2.88,62.8,1.68,2.67,62.7,1.73,0.05,46.2,215.5,122.4,5.39,1.88,0.47,2.04,1.68,48.0,41.6,86.7,5.55,Matches
80,Emmanuel Boateng\Emmanuel-Boateng,gh GHA,FWMF,Columbus,26,1994,3.6,44.4,1.11,8.89,13.6,25.0,5.00,44.2,1.11,1.39,80.0,1.11,0.00,29.2,144.2,93.1,4.44,1.94,1.39,2.22,1.94,41.1,29.4,71.6,7.50,Matches
81,Pablo Bonilla\Pablo-Bonilla,ve VEN,DF,Portland,20,1999,9.8,53.4,3.27,16.6,25.9,14.2,0.61,44.1,1.12,1.84,61.1,1.22,0.00,28.1,117.7,78.9,3.78,1.53,0.10,1.22,0.71,30.8,27.4,89.1,1.73,Matches
82,Alex Bono\Alex-Bono,us USA,GK,Toronto FC,25,1994,3.0,42.0,36.0,42.0,0.00,0.00,0.00,29.0,0.00,0.00,,0.00,0.00,13.3,73.7,39.0,0.00,0.00,0.00,0.00,0.00,12.3,12.3,100.0,0.00,Matches
83,Jonathan Bornstein\Jonathan-Bornstein,us USA,DF,Chicago,35,1984,12.7,59.3,3.94,19.8,28.1,14.6,0.87,49.4,0.79,1.34,58.8,0.79,0.00,30.7,137.7,76.8,4.25,1.73,0.24,0.39,0.79,31.2,28.5,91.4,2.05,Matches
84,Gustavo Bou\Gustavo-Bou,ar ARG,MFFW,New England,29,1990,14.8,47.1,0.14,2.70,17.6,29.5,6.01,43.5,3.11,4.66,66.7,3.31,0.41,35.8,154.3,79.6,4.66,0.88,1.22,3.18,3.24,47.8,34.8,72.8,12.0,Matches
85,Michael Boxall\Michael-Boxall,nz NZL,DF,Minnesota,31,1988,19.0,47.7,8.21,28.5,20.4,1.37,0.63,45.7,0.16,0.16,100.0,0.16,0.00,24.3,114.3,56.9,0.58,0.21,0.00,0.16,0.21,26.2,25.8,98.4,0.26,Matches
86,Michael Bradley\Michael-Bradley,us USA,MF,Toronto FC,32,1987,11.8,89.1,3.64,25.8,59.7,10.4,0.42,85.2,0.42,0.76,55.6,0.42,0.00,58.9,300.8,142.5,3.05,0.93,0.00,0.76,1.10,70.8,68.3,96.4,1.02,Matches
87,Zachary Brault-Guillard\Zachary-Brault-Guillard,ca CAN,DF,Montreal,21,1998,19.9,59.7,3.12,15.8,27.8,21.7,2.26,49.7,1.46,3.07,47.5,1.76,0.00,37.9,220.7,143.2,6.38,2.41,0.95,1.36,1.46,41.9,36.7,87.8,3.32,Matches
88,Bressan\Bressan,br BRA,DF,FC Dallas,27,1993,13.0,71.4,12.1,43.4,28.2,2.23,0.69,68.0,0.15,0.15,100.0,0.15,0.00,43.9,197.4,112.5,2.08,0.15,0.00,0.00,0.23,48.2,47.6,98.7,0.54,Matches
89,Frédéric Brillant\Frederic-Brillant,fr FRA,DF,D.C. United,34,1985,18.7,57.9,9.95,36.5,23.0,1.76,0.75,55.0,0.00,0.00,,0.00,0.00,31.7,152.9,88.5,1.71,0.21,0.00,0.05,0.05,36.3,36.0,99.3,0.48,Matches
90,Brandt Bronico\Brandt-Bronico,us USA,DFMF,Chicago,24,1995,3.1,70.6,2.26,18.4,41.6,12.9,0.65,60.6,1.61,1.94,83.3,1.61,0.00,41.9,111.9,52.9,1.61,0.65,0.00,0.32,0.97,41.0,38.7,94.5,1.29,Matches
91,Will Bruin\Will-Bruin,us USA,FWMF,Seattle,30,1989,6.3,34.0,0.16,1.75,15.1,18.4,6.35,32.1,1.27,2.06,61.5,1.27,0.00,22.5,103.5,48.9,2.54,0.48,0.79,3.02,1.75,44.0,26.3,59.9,12.7,Matches
