Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
449,Chris Odoi-Atsem\Chris-Odoi-Atsem,us USA,DF,D.C. United,24,1995,8.6,0.12,0.35,0.23,66.7,0.35,0.23,0.33,0.50,10.9,0.00,0.00,0.00,0.09,0.09,0.27,0.02,0.02,Matches
450,Noble Okello\Noble-Okello,ca CAN,MF,Toronto FC,19,2000,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
451,Orji Okwonkwo\Orji-Okwonkwo,ng NGA,FWMF,Montreal,22,1998,5.5,0.18,1.82,1.27,70.0,1.83,1.28,0.10,0.14,20.6,0.00,0.00,0.00,0.18,0.18,0.10,0.00,0.00,Matches
452,Wyatt Omsberg\Wyatt-Omsberg,us USA,DF,Chicago,24,1995,2.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
453,Zdeněk Ondrášek\Zdenek-Ondrasek,cz CZE,FW,FC Dallas,31,1988,3.5,0.57,2.57,0.86,33.3,2.60,0.87,0.22,0.67,13.0,0.00,0.00,0.00,0.31,0.31,0.12,0.26,0.26,Matches
454,Nedum Onuoha\Nedum-Onuoha,eng ENG,DF,Real Salt Lake,33,1986,14.6,0.00,0.89,0.07,7.7,0.89,0.07,0.00,0.00,8.4,0.00,0.00,0.00,0.11,0.11,0.12,-0.11,-0.11,Matches
455,Ike Opara\Ike-Opara,us USA,DF,Minnesota,30,1989,2.0,1.00,1.00,1.00,100.0,1.00,1.00,1.00,1.00,6.5,0.00,0.00,0.00,0.10,0.10,0.09,0.90,0.90,Matches
456,Kwadwo Opoku\Kwadwo-Opoku,gh GHA,FW,Los Angeles FC,18,2001,0.6,0.00,1.67,0.00,0.0,1.67,0.00,0.00,,6.1,0.00,0.00,0.00,0.67,0.67,0.44,-0.67,-0.67,Matches
457,Jonathan Osorio\Jonathan-Osorio,ca CAN,MF,Toronto FC,27,1992,15.6,0.06,1.15,0.38,33.3,1.15,0.38,0.06,0.17,15.7,0.00,0.00,0.00,0.13,0.13,0.11,-0.06,-0.06,Matches
458,Leonard Owusu\Leonard-Owusu,gh GHA,MF,Vancouver,22,1997,14.5,0.00,0.69,0.00,0.0,0.69,0.00,0.00,,19.6,0.00,0.00,0.00,0.04,0.03,0.05,-0.04,-0.03,Matches
