Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
97,Gianluca Busio\Gianluca-Busio,us USA,MFFW,Sporting KC,17,2002,14.1,2.84,2.83,1.21,0.57,0.21,0.28,0.43,0.14,0.21,0.21,0.14,0.07,0.00,0.00,0.00,0.00,0.00,Matches
98,Alexander Büttner\Alexander-Buttner,nl NED,DF,New England,30,1989,13.9,2.66,2.67,1.58,0.94,0.07,0.00,0.07,0.00,0.22,0.22,0.14,0.07,0.00,0.00,0.00,0.00,0.00,Matches
99,Handwalla Bwana\Handwalla-Bwana,us USA,FWMF,Nashville,22,1997,0.5,4.00,4.19,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
100,Handwalla Bwana\Handwalla-Bwana,us USA,FWMF,Seattle,22,1997,2.0,1.50,1.52,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
101,Brandon Bye\Brandon-Bye,us USA,DF,New England,24,1995,18.2,1.76,1.76,1.48,0.22,0.00,0.00,0.05,0.00,0.05,0.06,0.05,0.00,0.00,0.00,0.00,0.00,0.00,Matches
102,Víctor Cabrera\Victor-Cabrera,ar ARG,DF,Houston,26,1993,7.3,0.27,0.28,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
103,Chris Cadden\Chris-Cadden,sco SCO,DFMF,Columbus,23,1996,3.9,1.54,1.53,1.28,0.26,0.00,0.00,0.00,0.00,0.26,0.25,0.00,0.26,0.00,0.00,0.00,0.00,0.00,Matches
104,Jhonder Cádiz\Jhonder-Cadiz,ve VEN,FW,Nashville,24,1995,2.5,2.00,2.01,0.00,0.00,1.20,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
105,Scott Caldwell\Scott-Caldwell,us USA,MF,New England,28,1991,12.8,0.86,0.86,0.70,0.08,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
106,Alexander Callens\Alexander-Callens,pe PER,DF,NYCFC,27,1992,21.5,0.42,0.42,0.37,0.05,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,Matches
