Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
173,Cameron Duke\Cameron-Duke,us USA,MF,Sporting KC,18,2001,2.5,0.40,0.00,0.00,1.60,2.00,0.00,1.20,0.00,1.20,0.00,0.00,0.00,9.60,0.80,1.60,33.3,Matches
174,Cameron Dunbar\Cameron-Dunbar,us USA,MF,LA Galaxy,17,2002,0.9,0.00,0.00,0.00,2.22,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,,Matches
175,Kyle Duncan\Kyle-Duncan,us USA,DF,NY Red Bulls,22,1997,21.2,0.14,0.00,0.00,1.46,1.56,0.00,1.60,1.08,1.70,0.00,0.00,0.00,14.2,2.45,1.27,65.8,Matches
176,Chris Duvall\Chris-Duvall,us USA,DF,Portland,28,1991,8.3,0.36,0.00,0.00,1.08,0.48,0.00,1.45,0.60,0.96,0.00,0.00,0.00,6.14,1.08,0.60,64.3,Matches
177,Dom Dwyer\Dom-Dwyer,us USA,FW,Orlando City,29,1990,1.4,0.00,0.00,0.00,5.00,0.71,0.71,0.71,0.00,0.00,0.00,0.00,0.00,1.43,1.43,5.00,22.2,Matches
178,Jeremy Ebobisse\Jeremy-Ebobisse,us USA,FWMF,Portland,22,1997,11.8,0.00,0.00,0.00,0.68,0.85,0.25,0.93,0.34,0.42,0.00,0.00,0.00,5.17,2.29,1.95,54.0,Matches
179,Bobby Edwards\Bobby-Edwards,us USA,GK,FC Cincinnati,24,1995,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,0.00,0.00,,Matches
180,Raheem Edwards\Raheem-Edwards,ca CAN,FWMF,Minnesota,24,1995,3.0,0.00,0.00,0.00,2.67,2.00,0.00,1.67,1.67,1.00,0.00,0.00,0.00,7.67,1.67,3.00,35.7,Matches
181,Mandela Egbo\Mandela-Egbo,eng ENG,DF,NY Red Bulls,22,1997,5.0,0.20,0.00,0.00,1.40,1.00,0.00,2.00,0.80,1.00,0.00,0.00,0.00,9.40,1.60,1.60,50.0,Matches
182,Alberth Elis\Alberth-Elis,hn HON,FW,Houston,23,1996,4.2,0.48,0.24,0.24,3.10,1.19,0.71,2.62,0.24,1.43,0.00,0.00,0.00,5.95,2.14,3.10,40.9,Matches
183,Jack Elliott\Jack-Elliott,eng ENG,DFMF,Philadelphia,24,1995,10.9,0.18,0.00,0.00,1.65,0.64,0.00,0.18,0.18,1.65,0.00,0.00,0.00,11.6,1.38,1.38,50.0,Matches
184,Tsubasa Endoh\Tsubasa-Endoh,jp JPN,MFFW,Toronto FC,26,1993,6.9,0.14,0.00,0.00,1.16,2.90,0.14,1.88,0.14,1.30,0.00,0.00,0.00,4.49,0.72,1.45,33.3,Matches
185,Magnus Eriksson\Magnus-Eriksson,se SWE,MF,San Jose,29,1990,5.0,0.20,0.00,0.00,0.80,1.20,0.00,2.40,0.40,1.40,0.00,0.00,0.00,8.80,1.20,1.80,40.0,Matches
186,Franco Escobar\Franco-Escobar,ar ARG,DF,Atlanta,24,1995,15.3,0.52,0.07,0.07,1.57,1.57,0.07,1.05,0.92,1.83,0.00,0.00,0.00,11.4,1.24,1.83,40.4,Matches
187,Cristian Espinoza\Cristian-Espinoza,ar ARG,MFFW,San Jose,24,1995,20.0,0.15,0.00,0.00,1.10,0.95,0.20,3.90,0.35,0.55,0.00,0.00,0.00,7.15,0.20,0.75,21.1,Matches
188,Roger Espinoza\Roger-Espinoza,hn HON,MF,Sporting KC,33,1986,10.5,0.29,0.00,0.00,1.90,0.95,0.10,0.48,0.57,1.62,0.00,0.00,0.00,8.86,2.10,1.14,64.7,Matches
189,Derrick Etienne\Derrick-Etienne,ht HAI,FWMF,Columbus,23,1996,10.0,0.00,0.00,0.00,1.10,3.10,0.50,2.10,0.60,0.60,0.00,0.00,0.00,7.10,0.50,1.70,22.7,Matches
190,Diego Fagúndez\Diego-Fagundez,uy URU,MFFW,New England,24,1995,10.8,0.19,0.00,0.00,1.48,0.65,0.00,0.65,0.65,1.39,0.00,0.00,0.00,9.35,1.11,1.20,48.0,Matches
191,Rod Fanni\Rod-Fanni,fr FRA,DF,Montreal,38,1981,10.5,0.00,0.00,0.00,0.57,0.48,0.00,0.00,0.95,0.95,0.00,0.00,0.00,9.52,1.52,0.76,66.7,Matches
192,Marco Farfan\Marco-Farfan,us USA,DF,Portland,21,1998,9.5,0.21,0.00,0.00,1.89,0.95,0.11,1.16,0.53,2.00,0.00,0.00,0.00,10.5,2.00,1.16,63.3,Matches
193,Andrew Farrell\Andrew-Farrell,us USA,DF,New England,27,1992,19.0,0.11,0.00,0.00,0.47,0.79,0.00,0.00,0.53,1.16,0.00,0.00,0.05,11.5,1.42,1.32,51.9,Matches
194,Felipe\Felipe,br BRA,MF,D.C. United,29,1990,7.0,0.57,0.00,0.00,1.43,3.29,0.00,0.86,1.00,1.71,0.00,0.00,0.00,8.57,0.29,0.71,28.6,Matches
195,Luis Felipe\Luis-Felipe,br BRA,MF,San Jose,24,1996,2.2,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.45,2.73,0.00,0.00,0.00,9.09,3.64,1.82,66.7,Matches
196,Rolf Feltscher\Rolf-Feltscher,ve VEN,DF,LA Galaxy,29,1990,13.9,0.14,0.00,0.00,1.15,0.79,0.07,3.17,0.86,1.73,0.00,0.07,0.00,8.92,2.45,0.86,73.9,Matches
197,Gerso Fernandes\Gerso-Fernandes,gw GNB,FWMF,Sporting KC,28,1991,9.1,0.22,0.00,0.00,0.99,1.43,0.22,3.63,0.22,1.87,0.00,0.00,0.00,6.37,0.44,1.21,26.7,Matches
198,Omir Fernandez\Omir-Fernandez,us USA,FWMF,NY Red Bulls,20,1999,6.4,0.00,0.00,0.00,1.09,1.72,0.31,0.78,0.31,1.88,0.00,0.00,0.00,5.31,0.47,3.44,12.0,Matches
199,Jesus Ferreira\Jesus-Ferreira,us USA,MFFW,FC Dallas,19,2000,10.8,0.28,0.00,0.00,0.65,0.74,0.19,0.56,0.74,1.30,0.00,0.00,0.00,7.13,0.09,0.74,11.1,Matches
200,Carlos Fierro\Carlos-Fierro,mx MEX,MFFW,San Jose,25,1994,10.7,0.19,0.00,0.00,0.84,2.15,0.37,2.43,0.47,0.65,0.00,0.00,0.00,6.36,0.37,1.03,26.7,Matches
201,Jorge Figal\Jorge-Figal,ar ARG,DF,Miami,25,1994,19.4,0.21,0.00,0.00,1.13,1.34,0.05,0.46,1.03,1.29,0.00,0.05,0.00,10.3,0.93,0.88,51.4,Matches
202,Maynor Figueroa\Maynor-Figueroa,hn HON,DF,Houston,36,1983,19.1,0.37,0.00,0.00,1.47,1.15,0.00,0.37,0.94,1.31,0.00,0.05,0.00,11.4,2.67,2.09,56.0,Matches
203,Ethan Finlay\Ethan-Finlay,us USA,FWMF,Minnesota,29,1990,10.6,0.00,0.00,0.00,1.42,0.85,0.19,1.70,0.28,1.60,0.00,0.00,0.00,5.94,0.66,1.60,29.2,Matches
204,Oniel Fisher\Oniel-Fisher,jm JAM,DF,D.C. United,28,1991,7.5,0.13,0.00,0.00,2.00,0.80,0.13,1.20,1.20,0.53,0.00,0.00,0.00,9.33,1.07,2.00,34.8,Matches
205,Andrés Flores\Andres-Flores,sv SLV,FWMF,Portland,29,1990,2.1,0.00,0.00,0.00,0.95,1.43,0.48,1.43,0.48,0.00,0.00,0.00,0.00,8.57,0.00,2.38,0.0,Matches
206,Edison Flores\Edison-Flores,pe PER,MFFW,D.C. United,25,1994,9.6,0.10,0.00,0.00,1.15,0.83,0.52,1.98,0.21,0.63,0.10,0.00,0.00,6.56,1.04,1.35,43.5,Matches
207,Anthony Fontana\Anthony-Fontana,us USA,MFFW,Philadelphia,20,1999,5.7,0.70,0.00,0.00,2.98,2.11,0.00,1.05,0.18,1.40,0.00,0.00,0.00,7.54,0.53,1.58,25.0,Matches
