Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
109,Leonardo César Jardim\Leonardo-Cesar-Jardim,br BRA,GK,fr Lille,24,1995,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,,Matches
110,Rayan Cherki\Rayan-Cherki,fr FRA,MF,fr Lyon,15,2003,0.4,0.00,0.00,0.00,0.00,2.50,2.50,2.50,0.00,0.00,0.00,0.00,0.00,7.50,0.00,0.00,,Matches
111,Denis Cheryshev\Denis-Cheryshev,ru RUS,MF,es Valencia,28,1990,2.9,0.00,0.00,0.00,1.03,2.76,0.69,1.38,0.34,0.00,0.00,0.00,0.00,5.86,0.34,1.72,16.7,Matches
112,Chiquinho\Chiquinho,pt POR,MFFW,pt Benfica,24,1995,3.0,0.00,0.00,0.00,0.67,1.33,0.00,0.67,0.33,1.33,0.00,0.00,0.00,8.00,0.33,0.33,50.0,Matches
113,Andreas Christensen\Andreas-Christensen,dk DEN,DF,eng Chelsea,23,1996,4.0,0.00,0.00,0.00,0.25,0.75,0.00,0.00,0.25,0.50,0.00,0.00,0.00,6.25,1.25,1.00,55.6,Matches
114,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,es Valencia,30,1989,6.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.33,0.00,0.00,,Matches
115,Kingsley Coman\Kingsley-Coman,fr FRA,FW,de Bayern Munich,23,1996,6.1,0.00,0.00,0.00,0.82,1.64,0.16,4.92,0.16,0.82,0.00,0.16,0.00,5.74,0.82,0.82,50.0,Matches
116,Dion Cools\Dion-Cools,be BEL,MF,be Club Brugge,23,1996,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,Matches
117,Francis Coquelin\Francis-Coquelin,fr FRA,MFDF,es Valencia,28,1991,4.8,0.42,0.00,0.00,1.04,1.88,0.00,0.00,1.04,1.88,0.00,0.00,0.00,11.9,1.04,1.04,50.0,Matches
118,Vedran Ćorluka\Vedran-Corluka,hr CRO,DF,ru Loko Moscow,33,1986,5.8,0.17,0.00,0.00,1.03,0.52,0.17,0.00,1.55,1.03,0.00,0.00,0.00,4.83,2.76,0.69,80.0,Matches
