Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
65,Izzy Brown\Izzy-Brown,eng ENG,MFFW,Brighton,20,1997,3.5,1.43,1.43,0.86,0.57,0.00,0.29,1.43,20.0,1.14,13.4,3.43,25.5,5.71,5.43,2.29,2.00,0.00,0.00,2.00,0.29,1.71,1.14,0.00,Matches
66,Bruno\Bruno,es ESP,DF,Brighton,36,1980,22.4,1.16,0.71,0.85,0.18,0.13,0.54,1.16,46.2,0.63,5.31,1.83,34.5,3.21,1.70,0.40,1.96,0.40,0.00,1.56,1.47,2.63,1.83,0.00,Matches
67,Chris Brunt\Chris-Brunt,nir NIR,MFDF,West Brom,32,1984,21.3,1.55,0.99,1.13,0.42,0.00,0.47,1.83,25.6,1.36,12.3,2.63,21.5,5.31,5.49,1.46,1.46,0.19,0.00,1.27,1.36,2.91,1.41,0.14,Matches
68,Oliver Burke\Oliver-Burke,sco SCO,FWMF,West Brom,20,1997,4.1,1.22,0.49,0.73,0.24,0.24,0.49,1.71,28.6,1.22,17.1,3.41,20.0,5.61,7.32,4.15,1.22,0.00,0.00,1.22,1.46,2.68,0.24,0.00,Matches
69,Jack Butland\Jack-Butland,eng ENG,GK,Stoke City,24,1993,35.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.0,0.03,0.03,0.00,0.0,0.03,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.14,0.06,Matches
70,Sam Byram\Sam-Byram,eng ENG,DF,West Ham,23,1993,2.8,3.21,0.71,2.14,0.71,0.36,1.43,2.50,57.1,1.07,19.3,4.29,22.2,9.29,6.43,3.57,2.86,0.36,0.00,2.50,2.50,5.71,4.29,0.00,Matches
71,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,35,1981,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.0,0.33,0.33,0.00,0.0,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
72,Yohan Cabaye\Yohan-Cabaye,fr FRA,MF,Crystal Palace,31,1986,26.4,2.16,1.44,1.36,0.64,0.15,0.64,2.61,24.6,1.97,23.6,5.98,25.4,7.58,12.8,3.18,2.31,0.30,0.00,2.01,2.31,4.47,0.80,0.04,Matches
73,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,31,1985,23.2,1.29,0.39,0.82,0.34,0.13,0.47,1.03,45.8,0.56,5.99,2.41,40.3,3.49,1.98,0.52,1.55,0.78,0.00,0.78,0.52,1.81,4.66,0.04,Matches
74,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FWMF,Everton,20,1997,20.9,0.72,0.33,0.24,0.14,0.33,0.10,0.53,18.2,0.43,15.0,3.92,26.1,1.05,5.36,8.61,0.96,0.14,0.00,0.81,0.53,1.24,1.10,0.00,Matches
