Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
69,Jack Butland\Jack-Butland,eng ENG,GK,Stoke City,24,1993,35.0,35.3,29.3,35.1,0.17,0.06,0.03,25.5,0.00,0.03,0.0,0.00,0.00,15.4,108.5,53.9,0.00,0.00,0.00,0.00,0.00,12.1,12.1,100.0,0.00,Matches
70,Sam Byram\Sam-Byram,eng ENG,DF,West Ham,23,1993,2.8,61.4,5.36,18.9,23.2,20.7,2.50,51.1,1.07,1.79,60.0,1.43,0.71,25.7,111.8,59.3,3.21,0.36,0.71,1.07,0.71,31.8,26.4,83.1,2.86,Matches
71,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,35,1981,3.0,33.0,28.0,32.7,0.33,0.00,0.00,28.7,0.00,0.00,,0.00,0.00,16.0,65.0,27.3,0.00,0.00,0.00,0.00,0.00,17.3,17.3,100.0,0.00,Matches
72,Yohan Cabaye\Yohan-Cabaye,fr FRA,MF,Crystal Palace,31,1986,26.4,64.7,1.52,14.4,34.7,18.8,1.10,58.4,0.34,0.91,37.5,0.49,0.15,39.2,175.2,81.4,3.33,1.29,0.00,0.87,0.61,40.4,37.6,93.0,2.16,Matches
73,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,31,1985,23.2,65.7,6.59,35.6,31.5,3.19,0.43,64.7,0.13,0.13,100.0,0.13,0.00,40.9,236.9,125.9,3.15,0.65,0.00,0.30,0.00,42.4,41.8,98.7,0.34,Matches
74,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FWMF,Everton,20,1997,20.9,38.5,1.48,4.11,14.4,22.9,4.21,37.8,1.48,2.68,55.4,1.53,0.14,21.7,117.2,51.7,2.73,0.81,0.86,3.88,1.63,51.8,28.3,54.6,9.52,Matches
75,Geoff Cameron\Geoff-Cameron,us USA,DFMF,Stoke City,32,1985,16.9,44.7,5.86,19.3,22.1,6.39,0.53,41.4,0.89,1.36,65.2,1.01,0.00,23.2,137.0,68.1,2.49,0.77,0.06,0.47,0.59,20.9,19.8,94.6,0.83,Matches
76,Tyrese Campbell\Tyrese-Campbell,eng ENG,FWMF,Stoke City,17,1999,0.9,36.7,1.11,2.22,12.2,23.3,5.56,35.6,0.00,0.00,,0.00,0.00,21.1,86.7,47.8,3.33,1.11,1.11,4.44,3.33,50.0,22.2,44.4,12.2,Matches
77,Emre Can\Emre-Can,de GER,MF,Liverpool,23,1994,23.2,77.8,2.07,19.2,48.8,18.0,1.51,77.1,0.69,1.12,61.5,0.78,0.00,54.3,371.9,213.4,8.45,3.32,0.22,0.73,0.86,57.4,53.7,93.5,2.67,Matches
78,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,29,1988,17.1,62.0,3.16,14.4,39.6,11.3,0.47,60.8,0.70,1.11,63.2,0.76,0.00,37.7,173.7,73.1,3.16,1.11,0.12,0.35,0.94,39.1,36.4,93.0,1.75,Matches
79,Michael Carrick\Michael-Carrick,eng ENG,MF,Manchester Utd,36,1981,1.2,89.2,5.83,25.0,60.0,9.17,0.83,89.2,0.00,0.00,,0.00,0.00,66.7,264.2,114.2,5.83,0.83,0.00,0.00,1.67,66.7,64.2,96.3,0.83,Matches
80,André Carrillo\Andre-Carrillo,pe PER,FWMF,Watford,26,1991,17.1,56.8,0.99,9.59,26.5,26.1,3.33,55.9,3.04,4.56,66.7,3.27,0.18,44.5,271.2,143.8,8.19,2.46,0.99,2.11,2.28,48.4,41.1,84.8,5.91,Matches
