Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
80,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,20,1997,6.6,36.1,34.2,1.82,0.91,0.00,8.64,1.06,0.30,0.00,0.00,0.00,0.00,29.1,2.42,4.55,4.55,29.1,1.67,0.15,0.15,31.4,0.00,0.30,0.00,0.91,Matches
81,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,22,1996,6.9,64.6,62.6,2.03,2.03,0.00,6.38,0.87,0.00,0.00,0.00,0.00,0.00,56.4,4.78,3.48,4.35,55.9,3.33,0.00,0.00,60.3,0.00,0.72,0.58,0.87,Matches
82,Cyrus Christie\Cyrus-Christie,ie IRL,DF,Fulham,25,1992,21.6,55.3,44.3,11.0,0.37,0.09,10.2,1.11,3.10,0.00,0.00,0.00,0.00,30.3,7.96,17.0,3.84,36.7,2.59,10.6,0.05,40.6,0.14,1.62,1.06,2.04,Matches
83,Ibrahima Cissé\Ibrahima-Cisse,gn GUI,MFFW,Fulham,24,1994,1.0,33.0,33.0,0.00,0.00,0.00,11.0,0.00,0.00,0.00,0.00,0.00,0.00,25.0,3.00,5.00,4.00,26.0,2.00,0.00,0.00,28.0,0.00,2.00,0.00,0.00,Matches
84,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,28,1989,9.5,31.8,31.3,0.53,0.32,0.00,7.26,0.53,0.11,0.00,0.00,0.00,0.00,18.4,4.32,9.05,22.1,3.58,4.11,0.21,0.00,23.7,0.00,1.16,0.42,0.53,Matches
85,Tom Cleverley\Tom-Cleverley,eng ENG,MFFW,Watford,28,1989,5.3,43.2,41.3,1.89,1.51,0.00,12.1,0.57,0.19,0.38,0.19,0.00,0.00,25.8,7.92,9.43,4.15,34.9,3.02,0.00,0.38,33.0,0.00,0.38,0.57,1.51,Matches
86,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Bournemouth,27,1991,12.7,46.3,37.0,9.29,0.39,0.16,8.90,0.16,0.94,0.00,0.00,0.00,0.00,27.2,8.11,10.9,1.89,33.5,1.34,8.90,0.16,35.7,0.16,0.79,1.02,1.65,Matches
87,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Liverpool,27,1991,1.2,70.0,50.0,20.0,1.67,0.00,8.33,1.67,2.50,0.00,0.00,0.00,0.00,40.0,15.0,15.0,2.50,46.7,0.83,18.3,1.67,56.7,0.00,0.00,0.83,0.83,Matches
88,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,25,1993,38.0,44.1,43.1,1.05,0.95,0.11,6.47,2.82,0.00,0.00,0.00,0.00,0.00,28.6,4.26,11.3,2.13,39.7,1.84,0.11,0.08,37.2,0.18,1.24,0.37,0.13,Matches
89,Joel Coleman\Joel-Coleman,eng ENG,GK,Huddersfield,22,1995,1.0,37.0,28.0,9.00,3.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,30.0,1.00,33.0,0.00,0.00,0.00,12.0,0.00,3.00,0.00,1.00,Matches
